Package,Built
abind,3.4.0
acepack,3.4.0
alluvial,3.4.0
animation,3.4.0
assertthat,3.4.0
AUC,3.4.0
backports,3.4.0
base,3.4.3
base64enc,3.4.0
BH,3.4.1
bindr,3.4.0
bindrcpp,3.4.0
binman,3.4.0
bit,3.4.0
bit64,3.4.0
bitops,3.4.0
blob,3.4.0
blogdown,3.4.3
bookdown,3.4.1
boot,3.4.3
brew,3.4.0
broom,3.4.2
callr,3.4.0
car,3.4.3
caTools,3.4.0
cellranger,3.4.0
checkmate,3.4.2
class,3.4.3
classInt,3.4.0
cli,3.4.2
clipr,3.4.2
clisymbols,3.4.0
cluster,3.4.3
coda,3.4.0
codetools,3.4.3
colorspace,3.4.0
commonmark,3.4.0
compiler,3.4.3
config,3.4.0
cowplot,3.4.1
crayon,3.4.1
crosstalk,3.4.0
curl,3.4.3
data.table,3.4.2
datasets,3.4.3
DBI,3.4.0
dbplyr,3.4.1
deldir,3.4.0
DEoptimR,3.4.0
desc,3.4.0
devtools,3.4.0
dichromat,3.4.0
digest,3.4.3
diptest,3.4.0
doParallel,3.4.2
dotCall64,3.4.0
dplyr,3.4.2
e1071,3.4.0
enc,3.4.2
evaluate,3.4.1
expm,3.4.0
fields,3.4.0
flexdashboard,3.4.3
flexmix,3.4.0
forcats,3.4.0
foreach,3.4.0
forecast,3.4.0
foreign,3.4.3
formatR,3.4.0
Formula,3.4.1
fpc,3.4.0
fracdiff,3.4.0
fs,3.4.2
gam,3.4.0
gbm,3.4.0
gdata,3.4.0
geoparser,3.4.0
geosphere,3.4.0
ggalluvial,3.4.3
GGally,3.4.1
gganimate,3.4.2
ggdendro,3.4.0
ggformula,3.4.1
ggmap,3.4.0
ggplot2,3.4.1
ggpolypath,3.4.0
ggpubr,3.4.1
ggRandomForests,3.4.0
ggrepel,3.4.2
ggsci,3.4.2
ggseas,3.4.0
ggsignif,3.4.1
ggthemes,3.4.0
ggvis,3.4.0
gh,3.4.2
git2r,3.4.1
glm2,3.4.2
glue,3.4.1
gmodels,3.4.0
goftest,3.4.0
googleAuthR,3.4.2
gplots,3.4.0
graphics,3.4.3
grDevices,3.4.3
grid,3.4.3
gridExtra,3.4.0
gridSVG,3.4.0
gtable,3.4.0
gtools,3.4.0
haven,3.4.1
here,3.4.0
hexbin,3.4.0
highlite,3.4.3
highr,3.4.0
Hmisc,3.4.0
hms,3.4.0
htmlTable,3.4.3
htmltools,3.4.0
htmlwidgets,3.4.1
httpuv,3.4.1
httr,3.4.1
influence.ME,3.4.0
ini,3.4.2
instaR,3.4.0
ISLR,3.4.2
iterators,3.4.0
jpeg,3.4.0
jsonlite,3.4.0
kableExtra,3.4.3
kernlab,3.4.0
KernSmooth,3.4.3
knitLatex,3.4.0
knitr,3.4.3
labeling,3.4.0
Lahman,3.4.1
lattice,3.4.3
latticeExtra,3.4.0
lazyeval,3.4.2
leaps,3.4.0
LearnBayes,3.4.0
lme4,3.4.2
lmtest,3.4.0
lookup,3.4.3
lubridate,3.4.2
magick,3.4.2
magrittr,3.4.0
mapdata,3.4.0
mapmate,3.4.1
mapproj,3.4.0
maps,3.4.0
maptools,3.4.0
markdown,3.4.0
MASS,3.4.3
Matrix,3.4.3
MatrixModels,3.4.0
mclust,3.4.0
memoise,3.4.3
methods,3.4.3
mgcv,3.4.3
microbenchmark,3.4.0
mime,3.4.0
miniUI,3.4.0
minqa,3.4.0
mnormt,3.4.0
modelr,3.4.1
modeltools,3.4.0
mosaic,3.4.1
mosaicCore,3.4.1
mosaicData,3.4.0
multcomp,3.4.2
munsell,3.4.0
mvtnorm,3.4.0
nlme,3.4.3
nloptr,3.4.0
NLP,3.4.0
